"STATION","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV01","WV03"
"USW00024233","2000-03-12","4.70"," 1909"," 2112","0.00",,,"42","47","36",,"  120","  130","0.0","10.1","13.0",,,,,,,,,,,,"    1",,"    1",,,,,,,
"USW00024233","2000-03-13","7.38"," 2311"," 2305","0.46",,,"50","58","42",,"  230","  230","0.0","28.0","38.9","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-03-14","13.20"," 1245"," 0222","0.03",,,"43","49","37",,"  230","  230","0.0","29.1","38.0","    1",,,"    1","    1",,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-03-15","2.91"," 1942"," 2326","0.04",,,"42","50","34",,"   90","  220","0.0","11.0","15.0","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-03-16","14.32"," 1107"," 1245","0.22",,,"46","51","40",,"  220","  220","0.0","25.9","36.9","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-03-17","12.97"," 1429"," 1428","0.05",,,"43","46","40",,"  200","  210","0.0","23.9","31.1","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-03-18","12.97"," 1743"," 1457","0.18",,,"45","50","40",,"  230","  220","0.0","23.9","32.0","    1",,,,,,,,,,"    1","    1",,"    1",,,,,,,
"USW00024233","2000-03-19","9.17"," 0650"," 0647","0.00",,,"42","46","37",,"  200","  230","0.0","17.9","23.9",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-03-20","4.47"," 2217"," 2217","0.00",,,"41","49","32",,"  150","  150","0.0","10.1","11.0","    1","    1",,,,,,,,,"    1",,,,,,,"    1",,,
"USW00024233","2000-03-21","4.25"," 0759"," 0758","0.00",,,"49","55","43",,"  150","  160","0.0","13.0","17.0",,,,,,,,,,,,,,"    1",,,,,,,
"USW00024233","2000-03-22","10.96"," 1929"," 1928","0.44",,,"46","52","40",,"  220","  210","0.0","21.9","28.0","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-03-23","9.84"," 1248"," 1143","0.00",,,"45","51","38",,"  200","  200","0.0","16.1","19.9",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-03-24","4.70"," 2336"," 1405","0.00",,,"45","54","35",,"   30","  340","0.0","8.9","13.0",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-03-25","3.13"," 1957"," 1526","0.00",,,"45","51","39",,"   20","   50","0.0","8.9","10.1",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-03-26","5.37"," 2244"," 2243","0.00",,,"47","58","35",,"  250","  240","0.0","15.0","17.9",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-03-27","10.29"," 2008"," 1340","0.06",,,"46","50","42",,"  210","  240","0.0","17.9","25.1",,,,,,,,,,,,,,"    1",,,,,,,
"USW00024233","2000-03-28","8.72"," 1305"," 1249","0.01",,,"44","50","38",,"  210","  210","0.0","21.0","25.1","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-03-29","4.92"," 1609"," 1622","0.01",,,"44","52","35",,"  360","   20","0.0","11.0","14.1","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-03-30","5.82"," 1335"," 1633","0.00",,,"48","58","37",,"   10","   10","0.0","14.1","16.1",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-03-31","5.59"," 1650"," 1618","0.00",,,"52","62","41",,"   10","  360","0.0","14.1","16.1",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-04-01","4.92"," 1736"," 1040","0.00",,,"55","64","45",,"   20","  330","0.0","14.1","17.0",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-04-02","3.80"," 1703"," 1703","0.00",,,"53","63","43",,"   10","  360","0.0","11.0","16.1","    1",,,,,,,,,,"    1",,,,,,,,,,
"USW00024233","2000-04-03","4.47"," 1538"," 1357","0.00",,,"56","68","44",,"  360","  360","0.0","13.0","16.1","    1",,,,,,,,,,"    1",,,,,,,,,,
"USW00024233","2000-04-04","9.40"," 1502"," 1459","0.00",,,"47","54","39",,"  240","  230","0.0","23.0","32.0","    1",,,,,,,,,,"    1","    1",,"    1",,,,,,,
"USW00024233","2000-04-05","12.53"," 2205"," 2048","0.02",,,"45","49","40",,"  210","  230","0.0","19.9","23.9",,,,,,,,,,,,,,"    1",,,,,,,
"USW00024233","2000-04-06","7.83"," 0312"," 0319","0.12",,,"45","50","39",,"  210","  220","0.0","21.0","25.9","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-04-07","8.95"," 2019"," 2030","0.00",,,"49","59","38",,"   20","   30","0.0","17.9","21.9",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-04-08","10.29"," 0807"," 0810","0.00",,,"52","62","42",,"   10","  360","0.0","21.9","23.9",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-04-09","5.82"," 0319"," 1631","0.00",,,"51","55","46",,"  210","  250","0.0","11.0","14.1",,,,,,,,,,,,"    1",,"    1",,,,,,,
"USW00024233","2000-04-10","5.59"," 1150"," 1637","0.00",,,"53","63","42",,"   10","  350","0.0","13.0","14.1",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-04-11","5.59"," 2019"," 1239","0.00",,,"57","68","45",,"   10","  290","0.0","10.1","14.1",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-04-12","2.91"," 1803"," 1132","0.00",,,"58","67","48",,"  160","  230","0.0","8.1","10.1",,,,,,,,,,,,,,"    1",,,,,,,
"USW00024233","2000-04-13","8.50"," 1907"," 1918","0.35",,,"54","59","49",,"  200","  190","0.0","21.9","28.0","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-04-14","10.96"," 1250"," 1514","0.14",,,"49","52","46",,"  200","  220","0.0","17.9","21.0","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-04-15","7.61"," 1719"," 1412","0.13",,,"51","56","46",,"  150","  210","0.0","13.0","16.1","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-04-16","6.71"," 0931"," 0448","0.00",,,"49","53","45",,"   20","   30","0.0","14.1","17.0",,,,,,,,,,,,,,"    1",,,,,,,
"USW00024233","2000-04-17","8.05"," 0830"," 0827","0.00",,,"53","62","43",,"   10","   10","0.0","15.0","17.9",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-04-18","6.49"," 1512"," 1737","0.00",,,"53","63","43",,"  230","  240","0.0","16.1","21.0",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-04-19","6.04"," 1233"," 0313","0.00",,,"53","60","46",,"  240","  220","0.0","11.0","15.0",,,,,,,,,,,,,,"    1",,,,,,,
"USW00024233","2000-04-20","4.03"," 1309"," 1525","0.00",,,"56","64","47",,"  280","  270","0.0","8.9","10.1",,,,,,,,,,,,,,"    1",,,,,,,
"USW00024233","2000-04-21","5.82"," 1631"," 1629","0.10",,,"55","63","47",,"  240","  240","0.0","14.1","17.0",,,,,,,,,,,,,,"    1",,,,,,,
"USW00024233","2000-04-22","12.30"," 1419"," 0146","0.01",,,"49","54","44",,"  220","  210","0.0","21.0","28.0",,,,,,,,,,,,,,"    1",,,,,,,
"USW00024233","2000-04-23","10.29"," 1108"," 1107","0.10",,,"45","52","37",,"  190","  200","0.0","21.0","29.1",,,,,,,,,,,,,,"    1",,,,,,,
"USW00024233","2000-04-24","6.49"," 2334"," 2333","0.00",,,"45","55","35",,"  130","  130","0.0","13.0","15.0",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-04-25","7.61"," 1704"," 1704","0.34",,,"48","53","42",,"  210","  210","0.0","19.9","23.9",,,,,,,,,,,,,,"    1",,,,,,,
"USW00024233","2000-04-26","5.82"," 2115"," 2114","0.00",,,"52","62","41",,"  120","  120","0.0","15.0","17.9",,,,,,,,,,,,,,"    1",,,,,,,
"USW00024233","2000-04-27","6.93"," 1428"," 1325","0.07",,,"52","61","42",,"  250","  240","0.0","16.1","23.0",,,,,,,,,,,,,,"    1",,,,,,,
"USW00024233","2000-04-28","10.29"," 1427"," 1427","0.10",,,"47","52","41",,"  250","  260","0.0","21.0","25.9",,,,,,,,,,,,,,"    1",,,,,,,
"USW00024233","2000-04-29","5.37"," 1937"," 1937","0.00",,,"47","56","38",,"   40","   40","0.0","16.1","17.9",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-04-30","4.25"," 1658"," 1657","0.00",,,"56","65","46",,"  280","  280","0.0","11.0","15.0",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-05-01","3.80"," 1015"," 1014","0.16",,,"55","62","48",,"  240","  230","0.0","10.1","14.1","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-05-02","4.92"," 1907"," 1906","0.02",,,"56","63","49",,"  160","  150","0.0","17.9","23.9",,,,,,,,,,,,,,"    1",,,,,,,
"USW00024233","2000-05-03","8.95"," 1406"," 1405","0.24",,,"51","56","45",,"  240","  240","0.0","19.9","28.0","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-05-04","8.05"," 1136"," 1129","0.24",,,"49","54","44",,"  200","  220","0.0","19.9","25.1","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-05-05","8.72"," 1405"," 1406","0.08",,,"48","53","42",,"  230","  240","0.0","21.9","25.9","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-05-06","7.16"," 1832"," 1834","0.00",,,"49","59","39",,"   10","  360","0.0","16.1","19.9",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-05-07","6.49"," 1020"," 1027","0.00",,,"52","62","42",,"   20","   30","0.0","13.0","16.1",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-05-08","4.47"," 0609"," 2149","0.12",,,"50","54","46",,"   10","  210","0.0","15.0","17.9",,,,,,,,,,,,,,"    1",,,,,,,
"USW00024233","2000-05-09","8.72"," 2001"," 2000","0.74",,,"48","52","44",,"  200","  200","0.0","19.9","25.1","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-05-10","9.17"," 2340"," 2327","0.61",,,"48","53","42",,"  210","  220","0.0","16.1","21.0","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-05-11","12.53"," 1531"," 1530","0.00",,,"50","57","43",,"  200","  200","0.0","21.0","25.1",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-05-12","6.71"," 1821"," 1515","0.00",,,"50","58","41",,"   10","  310","0.0","10.1","14.1",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-05-13","7.16"," 0926"," 0924","0.00",,,"55","62","47",,"   10","   10","0.0","16.1","17.9",,,,,,,,,,,,,,"    1",,,,,,,
"USW00024233","2000-05-14","6.71"," 0450"," 0144","0.00",,,"63","73","53",,"   10","   20","0.0","11.0","14.1",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-05-15","5.82"," 0835"," 0833","0.00",,,"60","70","50",,"  230","  220","0.0","16.1","19.9",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-05-16","7.16"," 2028"," 1936","0.00",,,"59","69","49",,"  210","  210","0.0","15.0","19.9",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-05-17","7.61"," 0210"," 0703","0.00",,,"54","59","49",,"  170","  220","0.0","14.1","16.1",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-05-18","5.14"," 1618"," 1623","0.40",,,"55","62","48",,"  230","  250","0.0","11.0","14.1","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-05-19","7.83"," 1237"," 1237","0.00",,,"58","64","52",,"  210","  210","0.0","16.1","19.9",,,,,,,,,,,,"    1",,"    1",,,,,,,
"USW00024233","2000-05-20","5.59"," 1942"," 2050","0.00",,,"57","61","52",,"  200","  200","0.0","13.0","15.0",,,,,,,,,,,,,,"    1",,,,,,,
"USW00024233","2000-05-21","8.28"," 1630"," 1623","0.09",,,"60","67","53",,"  230","  220","0.0","16.1","21.0","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-05-22","5.59"," 1503"," 1241","0.00",,,"57","63","50",,"  280","  230","0.0","13.0","17.0",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-05-23","7.83"," 0210"," 1409","0.00",,,"57","63","50",,"   70","  300","0.0","15.0","17.9",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-05-24","4.47"," 0124"," 2041","0.00",,,"56","66","45",,"   30","  360","0.0","11.0","14.1",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-05-25","7.38"," 1444"," 1448","0.00",,,"53","62","43",,"  220","  220","0.0","15.0","17.9",,,,,,,,,,,,,,"    1",,,,,,,
"USW00024233","2000-05-26","6.04"," 1230"," 1223","0.18",,,"55","63","46",,"  230","  200","0.0","16.1","23.0","    1",,,,,,,,,,"    1","    1",,"    1",,,,,,,
"USW00024233","2000-05-27","10.29"," 0810"," 1102","0.17",,,"57","63","50",,"  180","  240","0.0","21.9","29.1","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-05-28","8.72"," 1150"," 0345","0.07",,,"55","61","49",,"  220","  200","0.0","16.1","19.9",,,,,,,,,,,,,,"    1",,,,,,,
"USW00024233","2000-05-29","6.04"," 0616"," 0605","0.08",,,"55","60","49",,"   50","   50","0.0","13.0","15.0",,,,,,,,,,,,,,"    1",,,,,,,
"USW00024233","2000-05-30","6.26"," 2018"," 2018","0.03",,,"50","52","48",,"  140","  150","0.0","11.0","13.0",,,,,,,,,,,,,,"    1",,,,,,,
"USW00024233","2000-05-31","6.93"," 1405"," 1435","0.04",,,"53","57","49",,"  210","  220","0.0","14.1","17.0","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-06-01","8.72"," 0705"," 0644","0.00",,,"58","68","48",,"   20","   30","0.0","17.0","21.0",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-06-02","5.82"," 1430"," 1632","0.00",,,"58","67","49",,"   40","  350","0.0","14.1","16.1",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-06-03","3.36"," 1508"," 1440","0.00",,,"64","79","48",,"  330","  300","0.0","8.9","14.1",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-06-04","4.25"," 2120"," 2119","0.00",,,"69","83","54",,"  210","  210","0.0","13.0","16.1",,,,,,,,,,,,,,,,,,,,,
